#IDA	IDB	WI2004	WI2007	BPMAPS
AC3.10	AC3.3			core
AC3.3	C03A7.14			core
AC3.3	C03A7.4	core		
AC3.3	C05D2.1			core
AC3.3	C37C3.6			core
AC3.3	F29G6.3		core	
AC3.3	R05F9.10		core	
AC3.3	T01D1.6	core		
AC3.3	Y39B6A.1			core
AC3.3	Y69H2.3		core	
AC3.3	ZK1067.7			core
AC3.4	T23F1.6	core		
AC3.7	Y40B10A.2		core	
AC7.2	W07G4.5			core
AC7.2	ZK792.6			core
AC8.1	ZC302.1			core
AH6.5	C12D8.1	core		
AH6.5	T11B7.4	core		
B0001.1	C45G3.1	core		
B0001.4	F19B6.1		core	
B0001.7	B0281.5		core	
B0001.7	F37H8.1		core	
B0019.2	K01G5.4	core		
B0024.10	C06A1.1		core	
B0024.11	F10G7.4			core
B0024.12	B0365.1	core		
B0024.12	C06E2.1		core	
B0024.12	C25F6.2	core		
B0024.12	C38D4.6	core		
B0024.14	B0024.14	core		
B0024.14	B0228.1		core	
B0024.14	B0507.1	core		
B0024.14	C02C2.1	core		
B0024.14	C05G6.1		core	
B0024.14	C34G6.2	core		
B0024.14	C37C3.6	core		
B0024.14	DH11.4		core	
B0024.14	F08C6.1	core		
B0024.14	F23B12.3	core		
B0024.14	F29G6.3	core		
B0024.14	F30H5.3	core		
B0024.14	F43G9.11	core		
B0024.14	F48E8.1	core		
B0024.14	F48G7.10		core	
B0024.14	F53A9.1	core		
B0024.14	F53A9.2	core		
B0024.14	F54B11.7	core		
B0024.14	F56B3.2	core		
B0024.14	F58E6.3	core		
B0024.14	H04J21.3	core		
B0024.14	K08E7.5	core	core	
B0024.14	R02F11.1	core		
B0024.14	T01B7.8	core		
B0024.14	T04C12.4	core		
B0024.14	T21B6.3	core		
B0024.14	T21D12.11	core	core	
B0024.14	T22F7.3	core		
B0024.14	T22H2.5	core		
B0024.14	W03G1.5	core		
B0024.14	Y39B6A.1	core		
B0024.14	Y64G10A.7	core		
B0024.14	Y65B4A.7	core		
B0024.14	Y69H2.10	core	core	
B0024.14	Y69H2.3	core	core	
B0024.14	ZK1067.7	core		
B0024.9	F12F6.7		core	
B0025.2	Y59A8A.1	core		
B0034.1	F17E9.5		core	
B0034.1	F25D7.1		core	
B0034.1	F45H10.4		core	
B0034.1	Y23H5A.4		core	
B0034.1	Y38C1AA.7		core	
B0034.3	R05F9.10	core		
B0034.3	T19C3.8		core	
B0035.1	K09B11.9		core	
B0035.1	R02F2.5		core	
B0035.1	Y54G9A.6	core		
B0035.6	D2007.2		core	
B0035.6	ZK1225.6		core	
B0041.4	Y18D10A.8	core		
B0041.4	Y40B10A.2		core	
B0041.6	B0041.6	core	core	
B0041.6	CC4.3		core	
B0205.3	B0336.10			core
B0205.3	F23F12.6			core
B0205.3	Y69H2.10		core	
B0205.3	Y69H2.3		core	
B0205.3	ZK1053.5		core	
